year,ssp,Nt,counts
1988.0,picontrol,Nt25,19689184.635173906
1989.0,picontrol,Nt25,19843177.330164395
1990.0,picontrol,Nt25,19521338.319003344
1991.0,picontrol,Nt25,21002896.380870346
1992.0,picontrol,Nt25,19854477.76382755
1993.0,picontrol,Nt25,18485217.690594554
1994.0,picontrol,Nt25,18117680.599483803
1995.0,picontrol,Nt25,18064888.727409057
1996.0,picontrol,Nt25,19535149.92646633
1997.0,picontrol,Nt25,16629698.464291207
1998.0,picontrol,Nt25,17018184.428218905
1999.0,picontrol,Nt25,17104846.57754949
2000.0,picontrol,Nt25,16211369.360548593
2001.0,picontrol,Nt25,18281135.549723107
2002.0,picontrol,Nt25,18607830.15676203
2003.0,picontrol,Nt25,17519888.529729303
2004.0,picontrol,Nt25,17321588.129390977
2005.0,picontrol,Nt25,17748512.54416782
2006.0,picontrol,Nt25,16701543.212491628
2007.0,picontrol,Nt25,15684228.542243395
2008.0,picontrol,Nt25,14993325.253894668
2009.0,picontrol,Nt25,14510078.874846704
2010.0,picontrol,Nt25,15727653.035901256
2011.0,picontrol,Nt25,15381222.692891357
2012.0,picontrol,Nt25,17873283.009303696
2013.0,picontrol,Nt25,20227180.518144887
2014.0,picontrol,Nt25,18137510.045897085
2015.0,picontrol,Nt25,18519766.757242486
2016.0,picontrol,Nt25,17792784.230870854
2017.0,picontrol,Nt25,17842157.2262308
2018.0,picontrol,Nt25,19288502.068030998
2019.0,picontrol,Nt25,19304556.034145094
2020.0,picontrol,Nt25,21332490.81225168
2021.0,picontrol,Nt25,21159261.917178124
2022.0,picontrol,Nt25,20526579.791386787
2023.0,picontrol,Nt25,16781033.87631391
2024.0,picontrol,Nt25,17772720.956376918
2025.0,picontrol,Nt25,16408092.339082822
2026.0,picontrol,Nt25,16245933.516418738
2027.0,picontrol,Nt25,15325832.747882817
2028.0,picontrol,Nt25,15254015.876992574
2029.0,picontrol,Nt25,13227758.012779212
2030.0,picontrol,Nt25,16747591.990317794
2031.0,picontrol,Nt25,18747546.102058213
2032.0,picontrol,Nt25,17633706.639432628
2033.0,picontrol,Nt25,20948069.716357037
2034.0,picontrol,Nt25,23289687.697948936
2035.0,picontrol,Nt25,23275520.731387243
2036.0,picontrol,Nt25,22254995.476149395
2037.0,picontrol,Nt25,21251469.005144283
2038.0,picontrol,Nt25,19757654.152045134
2039.0,picontrol,Nt25,20060585.534029394
2040.0,picontrol,Nt25,20825256.306475874
2041.0,picontrol,Nt25,21704279.37210792
2042.0,picontrol,Nt25,22037255.62867773
2043.0,picontrol,Nt25,20737682.83033989
2044.0,picontrol,Nt25,20642448.29847457
2045.0,picontrol,Nt25,20122260.563614912
2046.0,picontrol,Nt25,18808211.806648415
2047.0,picontrol,Nt25,18767047.969446953
2048.0,picontrol,Nt25,17160021.09675003
2049.0,picontrol,Nt25,16234351.579234358
2050.0,picontrol,Nt25,15030333.902271416
