year,ssp,Nt,counts
1988.0,ssp585,Nt25,1899888348.0209763
1989.0,ssp585,Nt25,1968772179.595294
1990.0,ssp585,Nt25,2030345798.8649597
1991.0,ssp585,Nt25,2107233000.0140543
1992.0,ssp585,Nt25,2168058217.8266764
1993.0,ssp585,Nt25,2247724947.8405886
1994.0,ssp585,Nt25,2332010921.689225
1995.0,ssp585,Nt25,2409536167.3564234
1996.0,ssp585,Nt25,2481836274.7674317
1997.0,ssp585,Nt25,2558878282.9785366
1998.0,ssp585,Nt25,2636731031.744296
1999.0,ssp585,Nt25,2710479400.036825
2000.0,ssp585,Nt25,2785152226.3023386
2001.0,ssp585,Nt25,2864520224.424515
2002.0,ssp585,Nt25,2925255508.135538
2003.0,ssp585,Nt25,2994303726.180067
2004.0,ssp585,Nt25,3074497743.448921
2005.0,ssp585,Nt25,3153803699.335927
2006.0,ssp585,Nt25,3233623162.136513
2007.0,ssp585,Nt25,3310383969.7896748
2008.0,ssp585,Nt25,3383715952.200857
2009.0,ssp585,Nt25,3449382200.588517
2010.0,ssp585,Nt25,3523150779.3293414
2011.0,ssp585,Nt25,3604353632.032996
2012.0,ssp585,Nt25,3681925362.376343
2013.0,ssp585,Nt25,3761381505.193053
2014.0,ssp585,Nt25,3830924905.487344
2015.0,ssp585,Nt25,3908532046.715331
2016.0,ssp585,Nt25,3979301759.811976
2017.0,ssp585,Nt25,4051354871.2316713
2018.0,ssp585,Nt25,4118258180.539753
2019.0,ssp585,Nt25,4191300243.648944
2020.0,ssp585,Nt25,4254156203.101724
2021.0,ssp585,Nt25,4320740504.082432
2022.0,ssp585,Nt25,4381087822.678585
2023.0,ssp585,Nt25,4442403914.710508
2024.0,ssp585,Nt25,4502789960.811258
2025.0,ssp585,Nt25,4565389404.53112
2026.0,ssp585,Nt25,4614796890.452833
2027.0,ssp585,Nt25,4672156565.320751
2028.0,ssp585,Nt25,4728452855.999477
2029.0,ssp585,Nt25,4777889427.424051
2030.0,ssp585,Nt25,4834688504.631205
2031.0,ssp585,Nt25,4890503477.916374
2032.0,ssp585,Nt25,4938483899.675425
2033.0,ssp585,Nt25,4990106865.978771
2034.0,ssp585,Nt25,5044371925.744112
2035.0,ssp585,Nt25,5099213049.05298
2036.0,ssp585,Nt25,5148299520.778322
2037.0,ssp585,Nt25,5194324446.350369
2038.0,ssp585,Nt25,5234219436.692824
2039.0,ssp585,Nt25,5272885916.326031
2040.0,ssp585,Nt25,5321437362.101673
2041.0,ssp585,Nt25,5355344793.360472
2042.0,ssp585,Nt25,5397952874.967669
2043.0,ssp585,Nt25,5455434580.067112
2044.0,ssp585,Nt25,5511256150.038738
2045.0,ssp585,Nt25,5563729618.222407
2046.0,ssp585,Nt25,5602960352.749154
2047.0,ssp585,Nt25,5665578498.61978
2048.0,ssp585,Nt25,5727127957.064667
2049.0,ssp585,Nt25,5772097355.652836
2050.0,ssp585,Nt25,5810482865.826695
